index,model,estimate,archivedt
2020-06-11,can,1.12,2022-11-01
2020-06-11,linlab,1.19431665055621,2022-11-01
2020-06-11,ucsf,1.11082046046916,2022-11-01
2020-06-11,m.rt,1.10898904064085,2022-11-01
2020-06-12,can,1.13,2022-11-01
2020-06-12,linlab,1.16858580353116,2022-11-01
2020-06-12,ucsf,1.11915755923069,2022-11-01
2020-06-12,m.rt,1.12,2022-11-01
2020-06-13,can,1.14,2022-11-01
2020-06-13,linlab,1.19319944727782,2022-11-01
2020-06-13,ucsf,1.12829695891971,2022-11-01
2020-06-13,m.rt,1.13,2022-11-01
2020-06-14,can,1.15,2022-11-01
2020-06-14,linlab,1.2199400801002,2022-11-01
2020-06-14,ucsf,1.13799878802215,2022-11-01
2020-06-14,m.rt,1.14,2022-11-01
2020-06-15,can,1.16,2022-11-01
2020-06-15,linlab,1.31695384883421,2022-11-01
2020-06-15,ucsf,1.14793960515859,2022-11-01
2020-06-15,m.rt,1.15,2022-11-01
2020-06-16,can,1.17,2022-11-01
2020-06-16,linlab,1.39994740961255,2022-11-01
2020-06-16,ucsf,1.15777237614171,2022-11-01
2020-06-16,m.rt,1.16,2022-11-01
2020-06-17,can,1.18,2022-11-01
2020-06-17,linlab,1.33496515207691,2022-11-01
2020-06-17,ucsf,1.16717885301937,2022-11-01
2020-06-17,m.rt,1.17,2022-11-01
2020-06-18,can,1.19,2022-11-01
2020-06-18,linlab,1.27452486711545,2022-11-01
2020-06-18,ucsf,1.17588940551743,2022-11-01
2020-06-18,m.rt,1.18,2022-11-01
2020-06-19,can,1.19,2022-11-01
2020-06-19,linlab,1.28144545297917,2022-11-01
2020-06-19,ucsf,1.18368889924951,2022-11-01
2020-06-19,m.rt,1.1866666666666665,2022-11-01
2020-06-20,can,1.2,2022-11-01
2020-06-20,linlab,1.20362108648744,2022-11-01
2020-06-20,ucsf,1.19043092006529,2022-11-01
2020-06-20,m.rt,1.1933333333333334,2022-11-01
2020-06-21,can,1.2,2022-11-01
2020-06-21,linlab,1.21398556482649,2022-11-01
2020-06-21,ucsf,1.19605451118595,2022-11-01
2020-06-21,m.rt,1.1966666666666665,2022-11-01
2020-06-22,can,1.21,2022-11-01
2020-06-22,linlab,1.2028503917398,2022-11-01
2020-06-22,ucsf,1.20058343630243,2022-11-01
2020-06-22,m.rt,1.2009501305799333,2022-11-01
2020-06-23,can,1.21,2022-11-01
2020-06-23,linlab,1.2168092939083,2022-11-01
2020-06-23,ucsf,1.20408090524624,2022-11-01
2020-06-23,m.rt,1.2042834639132665,2022-11-01
2020-06-24,can,1.21,2022-11-01
2020-06-24,linlab,1.21190963240212,2022-11-01
2020-06-24,ucsf,1.20657269041446,2022-11-01
2020-06-24,m.rt,1.2076167972465999,2022-11-01
2020-06-25,can,1.21,2022-11-01
2020-06-25,linlab,1.2238820330634,2022-11-01
2020-06-25,ucsf,1.20798901252585,2022-11-01
2020-06-25,m.rt,1.21,2022-11-01
2020-06-26,can,1.21,2022-11-01
2020-06-26,linlab,1.14760657462749,2022-11-01
2020-06-26,ucsf,1.20816480223551,2022-11-01
2020-06-26,m.rt,1.2093882674118366,2022-11-01
2020-06-27,can,1.2,2022-11-01
2020-06-27,linlab,1.13907802428976,2022-11-01
2020-06-27,ucsf,1.20690312233688,2022-11-01
2020-06-27,m.rt,1.2060549340785034,2022-11-01
2020-06-28,can,1.2,2022-11-01
2020-06-28,linlab,1.2225303310142701,2022-11-01
2020-06-28,ucsf,1.20407008785657,2022-11-01
2020-06-28,m.rt,1.20407829669736,2022-11-01
2020-06-29,can,1.19,2022-11-01
2020-06-29,linlab,1.15737887533311,2022-11-01
2020-06-29,ucsf,1.19968171699473,2022-11-01
2020-06-29,m.rt,1.1980233626188566,2022-11-01
2020-06-30,can,1.18,2022-11-01
2020-06-30,linlab,1.14139622005579,2022-11-01
2020-06-30,ucsf,1.1939347442726,2022-11-01
